ID,Entry,OriginalEmotion,ValidatedEmotion
13510,Futbolcuların yere tükürmesi.,Disgust,Disgust
13511,"Galatasaray'ın 16 yıldır Kadıköy'de"" kazanamaması.""",Surprise,Surprise
13512,"Nani'nin"" ""Antalyaspor"" maçında 90+4'de attığı gol.""",Happy,Happy
13513,"Nani'nin"" sakatlanarak oyundan çıkması.""",Fear,Sadness
13514,"Fenerbahçe'nin Molde"" maçında 3. golü yedikten sonra oyundan  düşmesi.""",Anger,Sadness
13515,Fenerbahçe'nin Molde maçında 3. golü yemesi.,Sadness,Ambigious
13516,Galatasaray'ın 2 haftada 5 puanı hakem sayesinde alması.,Disgust,Ambigious
13517,"Van Persie"" ve Nani'nin Fenerbahçe'ye gelmesi.""",Surprise,Happy
13518,Doğum günümde ablamın İstanbul'dan gelmesinden çok mutlu oldum.,Happy,Happy
13519,Yolda beni takip eden sapıktan korkmuştum.,Fear,Fear
13520,Bana iftira atıldığında öfkelenirim.,Anger,Anger
13521,Orijinal kulaklığımın kırılmasına üzüldüm.,Sadness,Sadness
13522,Küçükken bir müzik videosunda gördüğüm öpüşme sahnesinden tiksindim.,Disgust,Disgust
13523,Annemin İtalyan Kültür merkezine başladığını öğrendiğimde şaşırdım.,Surprise,Surprise
13524,Verdiğim parti çok güzel geçti mutlu oldum.,Happy,Happy
13525,"Oğuzhan'ın"" metroda komaya girmesinden çok korktum.""",Fear,Fear
13526,Arkadaşımla kavga ettiğimde çok öfkelenmiştim.,Anger,Anger
13527,Annemlerle kavga ettiğimde çok üzüldüm.,Sadness,Sadness
13528,Kusmuk gördüğümde tiksindim.,Disgust,Disgust
13529,Arkadaşımın önümde kusmasına şaşırdım.,Surprise,Surprise
13530,ESHOT'ta boş yer bulunca mutlu olurum.,Happy,Happy
13531,"Homofobi"" ""Ekin MADAN'ın"" bakışlarından korktum.""",Fear,Fear
13532,Canım sıkılınca öfkelenirim.,Anger,Anger
13533,"Ekin MADAN'ın"" doğumuna üzüldüm.""",Sadness,Sadness
13534,Ekin MADAN'dan tiksiniyorum.,Disgust,Disgust
13535,"Çılga ŞEN'in"" susmasına şaşırdım.""",Surprise,Surprise
13536,Ağabeyimin üniversiteden mezun olduğu zaman.,Happy,Happy
13537,Dedemin hastaneye kaldırıldığını öğrendiğim an.,Fear,Ambigious
13538,"İlkokul Teknoloji Tasarım"" dersinde bana çok mantıksız gelen şeyleri öğretmen soruyla yaptığım zaman.""",Anger,Anger
13539,Lisede ilk sınavımdan istediğim notu alamadığım zaman.,Sadness,Sadness
13540,Okula giderken arkadaşım kustu.,Disgust,Disgust
13541,Kardeşim doğduktan sonra onu eve getirdikleri ilk an.,Surprise,Happy
13542,Sınavdan yüksek aldığım zaman.,Happy,Happy
13543,Köpek kovalarsa.,Fear,Fear
13544,Haksızlığa uğramak.,Anger,Ambigious
13545,Ailemden biri ölürse.,Sadness,Sadness
13546,Yemekten kıl çıkması.,Disgust,Disgust
13547,Milli Piyango'dan para kazandığım zaman.,Surprise,Happy
13548,Sevdiğim Metal rock Konserini izlediğimde,Happy,Happy
13549,Böceklerden korkarım.,Fear,Fear
13550,Ben insanlara yardımcı olmak için doktor olmak istiyorum. Parası için Doktor olmak isteyenlere kızıyorum.,Anger,Anger
13551,İnsanların duyarsızlığında üzülüyorum,Sadness,Sadness
13552,Böceklerden tiksinirim,Disgust,Disgust
13554,Çevremdeki insanların mutlu olmasından ben de mutlu olurum.,Happy,Happy
13555,Yalnız kalmaktan korkarım.,Fear,Fear
13556,Birine kötü davranıldığında öfkelenirim.,Anger,Anger
13557,Birinin Aaahh.. diye inlemesine üzülürüm.,Sadness,Sadness
13560,Tüm arkadaşlarımın yanında olmaktan mutluluk duyarım.,Happy,Happy
13561,Korku filmi sonrası karanlıkta kalmaktan ve yalnız kalmaktan korkarım.,Fear,Fear
13562,"Sevdiğim insanların beni dışlayarak sevmediğim insanlara takılmasına,Eşyalarımı karıştırmasına,Yalan söylenmesine öfkelenirim.",Anger,Anger
13563,"Beslediğim hayvanların ölmesi,Sevdiğim şeyleri kaybetmek,Hayatımın istediğim gibi gitmemesine üzülürüm.",Sadness,Sadness
13564,Odama giren böceklerden tiksinirim.,Disgust,Disgust
13565,Yeterince çalışamadığım sınavdan yüksek not aldığımda şaşırırım.,Surprise,Surprise
13566,Takdir aldığımda mutlu olurum.,Happy,Happy
13567,Evimize hırsız girdiği zaman çok korkmuştum.,Fear,Fear
13568,Bana yalan söylenmesine öfkelenirim.,Anger,Anger
13569,Dedem öldüğünde çok üzüldüm.,Sadness,Sadness
13570,Arkadaşımın sümüğünü yemesinden tiksindim.,Disgust,Disgust
13571,Sevdiğim bir arkadaşımın beklenmedik davranışında şaşırırım.,Surprise,Surprise
13572,Sınavdan yüksek not aldığımda mutlu olurum.,Happy,Happy
13573,Evimize hırsız girdiğinde korkmuştum.,Fear,Fear
13574,Yalan söylenmesine öfkelenirim.,Anger,Anger
13575,Anneannem hastalandığında çok üzüldüm.,Sadness,Sadness
13576,Kötü kokulardan tiksinirim.,Disgust,Disgust
13577,Beklemediğim bir olay olduğunda şaşırırım.,Surprise,Surprise
13578,"Hoşlandığım çocuğun benimle konuşmasından mutlu olurum.İzmir Atatürk Lisesi"" ni kazandığımda çok mutlu olmuştum.""",Happy,Happy
13579,Yılanlardan korkarım.,Fear,Fear
13580,Güvenimin sarsılmasına öfkelenirim.,Anger,Anger
13581,Çok güvendiğim bir insanın arkamdan konuşmasına üzüldüm.,Sadness,Sadness
13582,Yola tükürülmesinden tiksinirim.,Disgust,Disgust
13583,İzmir Atatürk Lisesini kazandığımda çok şaşırdım.,Surprise,Surprise
13584,Sevmek ve sevilmekten mutluluk duyarım.,Happy,Happy
13585,Yılanlardan korkarım.,Fear,Fear
13586,Bana saygısızlık yapılmasına öfkelenirim.,Anger,Anger
13587,Kararsız kaldığım durumlarda üzülürüm.,Sadness,Sadness
13588,Özel hayatımla ilgili bilgisizce eleştiri yapılmasından tiksinirim.,Disgust,Disgust
13589,Ölüm haberlerine şaşırırım.,Surprise,Sadness
13590,Bana sürpriz doğum günü partisi düzenlenmesinden mutlu oldum.,Happy,Happy
13591,Evde yalnızken diğer odalardan gelen seslerden korkarım.,Fear,Fear
13592,Herhangi bir özel eşyamın benden habersiz karıştırılmasına öfkelenirim.,Anger,Anger
13593,"Herhangi bir ayrılık, boşanma ve ölüm haberini duyduğumda üzülürüm.",Sadness,Sadness
13594,Şımarık insanların davranışlarından tiksinirim.,Disgust,Disgust
13595,Sevdiğim bir ünlünün ölüm haberini duyunca şaşırırım.,Surprise,Surprise
13596,Okula gitmek zorunda olmadığım ve kendime zaman ayırabildiğim zamanlarda mutlu olurum.,Happy,Happy
13597,Korku filmi izlemekten korkarım.,Fear,Fear
13598,Olayların planladığım gibi gerçekleşmemesinde öfkelenirim.,Anger,Anger
13599,Arkadaşlarım tarafından tartaklandığımda üzülürüm.,Sadness,Sadness
13600,Otoriteye boyun eğen ve boyun eğmeyenlere de garip bakan insanlardan tiksinirim.,Disgust,Disgust
13601,Liseyi kazandığımda çok şaşırdım.,Surprise,Surprise
13602,2009 yılında Beşiktaş'ın Şampiyon olmasında çok mutlu oldum.,Happy,Happy
13603,"Dinamo Kiev"" maçında son saniyede karambolden gol yiyeceğiz diye korktum.""",Fear,Fear
13604,"Tosic""'in derbi maçta kendi kalemize gol atmasına öfkelendim.""",Anger,Anger
13605,"Club Brugge"" yenilip ""Avrupa Ligi"" ne devam edemeyince üzüldüm.""",Sadness,Sadness
13606,"Olcay Şahan'ın"" topla buluşmasından tiksindim.""",Disgust,Disgust
13607,Geçen sezon derbi maçı kazanamadığımız için şaşırmıştım.,Surprise,Surprise
13608,Sınavdan yüksek not aldığım zaman.,Happy,Happy
13609,Gece su içmeye kalktığım zaman üzerime kedi atlamıştı.,Fear,Fear
13610,En sevdiğim son yemeğin başkası tarafından yenmesi.,Anger,Ambigious
13611,Aile üyelerim öldüğü zaman.,Sadness,Sadness
13612,Arkadaşım doğum gününde altına yapmıştı.,Disgust,Ambigious
13613,Mili Piyango'dan para kazanmıştım.,Surprise,Happy
13614,Alışveriş yapmaktan mutlu oluyorum.,Happy,Happy
13615,Karanlık yerlerde tek başıma kalmaktan korkarım.,Fear,Fear
13616,Sevdiğim birinin bana yalan söylemesine çok öfkelenirim.,Anger,Anger
13617,Beni her şey üzer çünkü bunalımdayım.,Sadness,Sadness
13618,İnsanların ağızlarının kokmasından ve küfür etmelerinden tiksiniyorum.,Disgust,Disgust
13619,Bazı insanların gerçek yüzlerini görünce şaşırırım.,Surprise,Surprise
13620,"Tatillerde, metroda boş koltuk görünce ve sevdiklerim mutlu olunca.",Happy,Happy
13621,"Dabbe"" serisini izlerken.""",Fear,Fear
13622,Eşyalarımın benden habersiz kullanılması.Emeklerimin ya da düşüncelerimin çalınması.,Anger,Anger
13623,Test çözerken soruları yapamayınca ve formülleri unutunca.,Sadness,Anger
13624,Uzun tırnaklı ve sarı dişli insanlar. Kamuya açık tuvaletler. Et yemekleri.,Disgust,Disgust
13625,İnsanlardan beklemediğim tepki alınca.,Surprise,Surprise
13626,İzmir Atatürk Lisesini kazandığımda çok mutlu oldum.,Happy,Happy
13627,Ankara'nın ortasındaki patlamadan çok korktum.,Fear,Fear
13628,Türkiye'nin ekonomik ve sosyal yönden diğer ülkelerden kötü olmasına öfkeleniyorum.,Anger,Anger
13629,Dünyadaki savaşlar ve katliamlardan üzüntü duyarım.,Sadness,Sadness
13630,Kurbanlık hayvanların ortalıkta kesilmesinden tiksiniyorum.,Disgust,Disgust
13631,Bir zamanlar kendine yeten ülkemizin her şeyi dışarıdan alıyor duruma düşürülmesine şaşırıyorum.,Surprise,Surprise
13632,Hafta sonu eve gittiğim zamanlar.,Happy,Happy
13633,"Akşam sokakta, tanımadığım bir adam tarafından takip edilince.",Fear,Fear
13634,Birinin saçıma dokunması.,Anger,Anger
13635,Babamı kaybettiğim zaman.,Sadness,Sadness
13636,Toplu taşıma araçlarında ter kokan insanlar.,Disgust,Disgust
13637,"Otobüste tartıştığım kadın , arkadaşımın annesi çıkmıştı.",Surprise,Surprise
13638,Galatasaray'ın maç kazanması beni gerçekten mutlu eder.,Happy,Happy
13639,Galatasaray'ın hatalı gol yemesi.,Fear,Anger
13640,Galatasaray'ın şampiyonluğu son anda kaçırması.,Anger,Sadness
13641,Galatasaray'ın yenilmesine gerçekten çok üzülürüm.,Sadness,Sadness
13642,Galatasaray'ın pis bir gol yemesi.,Disgust,Anger
13643,Galatasaray'ın zayıf bir takıma yenilmesi.,Surprise,Sadness
13644,Yaz tatilinin uzaması.,Happy,Happy
13645,Köpek tarafından kovalanmak.,Fear,Fear
13646,Birisinin benimle alay etmesi.,Anger,Anger
13647,Sevgilim ile aramın kötü olması.,Sadness,Sadness
13648,Birinin boğazını temizleyerek yere tükürmesi.,Disgust,Disgust
13649,Uzun süre görmediğim birisinin sesinin değişmesi.,Surprise,Surprise
13650,En yakın arkadaşım ile yurt dışına çıkmıştım.,Happy,Happy
13651,Korku filmi izledikten sonra gece uyuyamamıştım.,Fear,Fear
13652,"Uzun süre uğraş verdiğim iş, arkadaşımın keyfi yüzünden iptal olmuştu.",Anger,Anger
13653,Çocuk iken aile üyelerim arasında kavga çıkmıştı.,Sadness,Sadness
13654,Yemekhane yemekleri.,Disgust,Ambigious
13655,İki bavul ile yurt dışından döndüğümde çok şaşırmıştım.,Surprise,Surprise
13656,Okula geldiğim ilk gün.,Happy,Ambigious
13657,Geceleri korkuyorum.,Fear,Fear
13658,Sınavlarda düşük aldığım zamanlar.,Anger,Sadness
13659,Ailemden ayrı kaldığım zamanlar.,Sadness,Sadness
13660,Kurban bayramlarında kandan tiksiniyorum.,Disgust,Disgust
13661,Matematikten 100 aldığımda.,Surprise,Happy
13662,Taksi ile Basmahane'ye gittim Taksici para almayınca çok mutlu oldum.,Happy,Happy
13663,Köpek havlamasından korkarım.,Fear,Fear
13664,"Galataray'ın"" ""Kadıköy'de"" kupa almasına çok öfkelendim.""",Anger,Anger
13665,"GS"" nin 4. yıldızı almasına üzüldüm.""",Sadness,Sadness
13666,Kardeşimin odada kusmasından tiksindim.,Disgust,Disgust
13667,"Cristian Baroni'nin"" ""Benfica"" maçında penaltı kaçırmasına şaşırdım.""",Surprise,Surprise
13668,Ortaokuldan 1. olarak mezun olduğumda çok mutlu oldum.,Happy,Happy
13669,Mavi Marmara olayında Ülkemiz ile İsrail arasında savaş çıkmasından korktum.,Fear,Fear
13670,Arkadaşımın sorduğum soru ile dalga geçmesine öfkelendim.,Anger,Anger
13671,"Suriyelilerin vatansız, evsiz barksız kalmalarına çok üzüldüm.",Sadness,Sadness
13672,Kurban kesim yerinde hayvanların kan ve dışkılarından tiksindim.,Disgust,Disgust
13673,Yaz tatili dönüşü arkadaşımın sesindeki kalınlaşmaya şaşırdım.,Surprise,Surprise
13674,Haksızlığa uğradığımda arkadaşlarımın bana destek olmalarından mutlu oldum.,Happy,Happy
13675,Karanlık ve kapalı ortamlardan korkarım.,Fear,Fear
13676,Gerçeklerin saklanmasına ve yalan söylenmesine öfkelenirim.,Anger,Anger
13677,Yakınlarımdan birini kaybedince üzülürüm.,Sadness,Sadness
13678,Haksız yere birisi ile dalga geçilmesinden tiksinirim.,Disgust,Disgust
13679,İnsanların gerçek yüzlerini görünce şaşırırım.,Surprise,Surprise
13686,Arkadaşlar beni takdir ederse mutlu olurum.,Happy,Happy
13687,Köpek saldırırsa korkarım.,Fear,Fear
13688,İftira atılınca öfkelenirim.,Anger,Anger
13689,Başarısız olunca üzülürüm.,Sadness,Sadness
13690,Tuvalet kokusundan tiksinirim.,Disgust,Disgust
13691,Yeni bir ortama girdiğimde şaşırırım.,Surprise,Surprise
13692,Tantuni yediğimde mutlu olurum.,Happy,Happy
13693,Böceklerden korkarım.,Fear,Fear
13694,Bir çocuğun istismar edilmesine öfkelenirim.,Anger,Anger
13695,Arkadaşımla kavga ettiğimde üzülürüm.,Sadness,Sadness
13698,Galatasaray'ın şampiyon olmasından çok mutlu oldum.,Happy,Happy
13699,Karanlıktan korkarım.,Fear,Fear
13700,Kardeşimle kavga ettiğimizde öfkelenirim.,Anger,Anger
13702,İnsanların salya sümük ağlamasından tiksinirim.,Disgust,Disgust
13704,Sevdiklerimin sevgilerini göstermelerinden mutlu olurum.,Happy,Happy
13705,Sevdiklerimi kaybetmekten korkarım.,Fear,Fear
13706,Yapmadığım bir şey yüzünden suçlandığımda öfkelenirim.,Anger,Anger
13707,Ailemin borçlanması hepimizi üzüyor.,Sadness,Sadness
13708,İnsanların yapmacık davranışlarından tiksinirim.,Disgust,Disgust
13709,Ülkemizi yönetenlerin davranışları beni şaşırtıyor.,Surprise,Surprise
13710,Tüm olumsuzluklara rağmen sahip olduğum imkanlar beni mutlu eder. ve güzellikler,Happy,Happy
13711,Ülkemizin 10 yıl sonraki hallerini düşününce korkuyorum.,Fear,Fear
13712,İnsanların sadece kendilerini düşünmesi beni öfkelendiriyor.,Anger,Anger
13713,İnsanların cahilliği beni üzüyor.,Sadness,Sadness
13714,Sokakta yerlere tükürülmesinden tiksinirim.,Disgust,Disgust
13715,İnsanların önemli konuları önemsememesine şaşırıyorum.,Surprise,Surprise
13716,İyi bir sınıfta olduğum için mutluyum.,Happy,Happy
13717,Fransızca sınavından ve arkadaşlarımın beni yüzüstü bırakmalarından korkarım.,Fear,Fear
13718,Yalan söylenmesine öfkelenirim.,Anger,Anger
13719,Kazanacakken kaybettiğimiz basketbol maçı sonrası çok üzüldüm.,Sadness,Sadness
13720,Erkek soyunma odasının kokusundan tiksinirim.,Disgust,Disgust
13721,"Yakın arkadaşın Özcan'la"" kavga ettiğimize şaşırdım.""",Surprise,Surprise
13722,"Alsancak'a"" taşındığımızda mutlu oldum.Çiğ köfte yemekten mutlu olurum.""",Happy,Happy
13724,Annemin öfkesini benim üzerime akıtmasına öfkeleniyorum.,Anger,Anger
13725,Çiğ köftenin ben doymadan  bitmesine üzülürüm.,Sadness,Sadness
13726,Annemin çiğ köfte sevmemesinden tiksiniyorum.,Disgust,Disgust
13727,Babamın sürpriz ziyaretine şaşırdım.,Surprise,Surprise
13728,Arkadaşımın yaptığı doğum günü sürprizinden mutlu oldum.,Happy,Happy
13729,Böceklerden korkarım.,Fear,Fear
13730,Konuşmalarımın dinlenmemesine öfkelenirim.,Anger,Anger
13731,Geçen yıl Ankara'dan İzmir'e taşınınca çok üzülmüştüm.,Sadness,Sadness
13732,Yakın olmadığım insanlarla aynı tabaktan yemek yemekten tiksinirim.,Disgust,Disgust
13733,Tanıdık bir ailenin İzmir'e taşınmasına şaşırdım.,Surprise,Surprise
13734,Sınıfımda birinci olmaktan mutlu olurum.,Happy,Happy
13735,Maganda bakışlarından korkarım.,Fear,Fear
13736,Suyun 0.75 lira olmasına öfkeleniyorum.,Anger,Anger
13737,106 sınıfına düştüğümde üzüldüm.,Sadness,Sadness
13738,Birinin önümde kusmasından tiksinirim.,Disgust,Disgust
13739,Sürpriz doğum günü partisi yapılması beni şaşırtır.,Surprise,Surprise
13740,9. sınıfı bitirip yaz tatiline girdiğimizde çok mutlu oldum.,Happy,Happy
13741,Böceklerden kokarım.,Fear,Fear
13742,Yetkisiz kişilerin sağa sola emirler vermesine öfkelenirim.,Anger,Anger
13743,Okulda çok iyi anlaştığım birinin başka bir okula nakline üzüldüm.,Sadness,Sadness
13744,İğrenç kokan otobüslerden tiksinirim.,Disgust,Disgust
13745,"Otobüste yaşlı bir amcaya yer vermek istediğimde Onun amca senin babandır terbiyesiz"" demesine şaşırdım.""",Surprise,Surprise
13746,Yeni arkadaşlarla tanışmaktan mutlu olurum.,Happy,Happy
13748,"Yemekhanede şinitzel"" gibi yemeklerin çıkmasına öfkelenirim.""",Anger,Anger
13749,Beden dersini üç sınıf birlikte yapınca üzüldüm.,Sadness,Sadness
13750,Çok fazla renkli kalem kullanılmasından tiksinirim.,Disgust,Disgust
13751,Sınıfa yeni birinin gelmesine şaşırdım.,Surprise,Surprise
13752,Doğum günümde hediye almaktanAilemi mutlu etmektenKardeşimle oyun oynamaktan mutlu olurum.,Happy,Happy
13753,Asansörde kalıp ışıklar da sönünce korktum.,Fear,Fear
13756,Yanımda birisi kusuncaKonuşurken tüküren insanlardan tiksinirim.,Disgust,Disgust
13757,Diyet yapmadığım halde 6 kilo verdiğime şaşırdım.,Surprise,Surprise
13758,Ezmeye çalışan birinin ezilen durumuna düşmesinden mutlu olurum.,Happy,Happy
13759,Bir ovanın ortasında gece tek başıma kalmaktan korkarım.,Fear,Fear
13760,Annemin babamın iyi giyinmedikleri zaman öfkelenirim.,Anger,Anger
13761,Hane büyüklerimin hastalıklarına üzülürüm.,Sadness,Sadness
13762,Birisine haksızlık yapılmasından tiksinirim.,Disgust,Ambigious
13763,İzmir metrosunun boş geçmesine şaşırdım.,Surprise,Surprise
13764,Okulların kapanmasından mutlu olurum.,Happy,Happy
13765,Sınavlar açıklanırken korkarım,Fear,Fear
13766,"Online"" oyunda kaybedince öfkelenirim.""",Anger,Anger
13767,Okulun açılmasına üzüldüm.,Sadness,Sadness
13770,Cuma günü eve gittiğimde çok mutlu olurum.,Happy,Happy
13771,Arı kovanının yanından geçerken korkarım.,Fear,Fear
13772,Annemin ders çalış demesine öfkelenirim.,Anger,Anger
13773,Kardeşim başını cama çarpıp kanattığında çok üzüldüm.,Sadness,Sadness
13774,Sınıfta birisi kusunca tiksinirim.,Disgust,Disgust
13775,Kardeşimin tişörtümü ısırırken dişinin fırlayıp çıkmasına şaşırdım.,Surprise,Surprise
13776,"CSGO"" oyununda 30-1 e gittiğimde mutlu olurum.""",Happy,Happy
13778,"CSGO"" oyununda öldürülmek beni öfkelendirir.""",Anger,Anger
13782,Teneffüse çıkınca mutlu olurum.,Happy,Happy
13783,Ben korkmam,Fear,Fear
13784,Ben öfkelenmem.,Anger,Anger
13785,Sınıfımı sevmediğim için üzüldüm.,Sadness,Sadness
13786,Sınıfımın kızlarını görünce tiksindim.,Disgust,Disgust
13787,Ben şaşırmam,Surprise,Surprise
13788,Üst dönemden arkadaş edindiğimde mutlu olurum.,Happy,Happy
13789,Coğrafya sınavını açıklarken hocanın yutkunmasından korktum.,Fear,Fear
13790,Sınıftakilerin tuhaf hareketlerine öfkelenirim.,Anger,Anger
13791,Matematik sınavından zayıf almak beni üzdü.,Sadness,Sadness
13792,"Tanıdıklarımın beni gördüğünde tanışık değilmiş gibi davranmasına, selam verilmemesinden tiksinirim.",Disgust,Disgust
13793,Benden nefret eden hocalarımın bana iyi davranmasına şaşırırım.,Surprise,Surprise
13794,Oyunda başarılı olunca mutlu olurum.,Happy,Happy
13795,Vücuduma kalıcı bir hasar gelmesinden korkarım.,Fear,Fear
13796,Hakkımın yenmesine ve söz hakkı verilmemesine öfkelenirim.,Anger,Anger
13797,Dedemin ölümüne üzüldüm.,Sadness,Sadness
13798,Yakınımda peynir bulunmasından tiksinirim.,Disgust,Disgust
13799,Otobüs şoförlerinin grevi beni şaşırttı.,Surprise,Surprise
13800,Sınavlardan yüksek not alınca mutlu olurum.,Happy,Happy
13802,Her zaman öfkeliyim.,Anger,Anger
13803,Sınıftaki insanların davranışlarına üzülürüm.,Sadness,Sadness
13806,Sevdiğim insanların yanında olmaktan mutlu olurum.,Happy,Happy
13807,Ailemden birini kaybetmekten korkarım.,Fear,Fear
13808,Çok iyi bildiğim konuda bana akıl vermeye kalkışanlara öfkelenirim.,Anger,Anger
13809,Çalışıp da başarılı olamazsam üzülürüm.,Sadness,Sadness
13810,Hızlı motor sürenlerdenSigara içenlerdenÇok sesli gülenlerden tiksinirim.,Disgust,Disgust
13812,Sınıfımla karşılaştığımda mutlu oldum.,Happy,Happy
13813,Sınıfımdan biriyle karşılaşmaktan korkarım.,Fear,Fear
13814,Suyun 75 kuruş olmasına öfkeleniyorum.,Anger,Anger
13815,"101G'ye"" girdiğimde üzüldüm.""",Sadness,Sadness
13816,Sınıfımdaki kızlardan tiksiniyorum.,Disgust,Disgust
13818,Bana iltifat edilmesinden ve istediklerime kavuşmaktan mutlu olurum.,Happy,Happy
13819,Kendime olan güvenimi yitirdiğim anlarda korkarım.,Fear,Fear
13820,Voleybol maçında çok iyi oyun çıkarırken küçük bir hatam nedeniyle bana bağırılmasına öfkelendim.,Anger,Anger
13821,Çok sevdiğim birinde kist çıkmasına üzüldüm.,Sadness,Sadness
13822,Kursa giderken yakınımdaki bir adamın karşıdan gelen birini taciz etmesinden tiksindim.,Disgust,Disgust
13823,Hiçbir şaşkınlık anımı hatırlamayınca şaşırdım.,Surprise,Surprise
13824,Kardeşimin 2 haftalık geziden dönmesinden mutlu oldum.,Happy,Happy
13825,"Annemin alzheimer"" olduğunu sandığım an çok korktum.""",Fear,Fear
13826,Sınıftaki bazı insanların çok ders çalışan arkadaşlarımla dalga geçmelerine öfkelenirim.,Anger,Anger
13827,Cici annemin kocasının ölümü ve büyük babamın kalp krizi geçirip ameliyat olmasına üzüldüm.,Sadness,Sadness
13828,Arkadaşımın ağzına peçete sokmasından ve parça parça çıkarmasından tiksindim.,Disgust,Disgust
13829,Arkadaşımın kendi cinsinden hoşlandığını öğrendiğimde çok şaşırdım.,Surprise,Surprise
13830,Kardeşim olacağını öğrendiğimde çok mutlu olmuştum.,Happy,Happy
13831,Klostrofobi oyunu çıkışı gördüğümüz adamdan korkmuştum.,Fear,Fear
13832,Benden habersiz program yapılması ve son anda benim haberim olmasına öfkelenirim.,Anger,Anger
13833,Kardeşimin düşerek başının şişmesine üzüldüm.,Sadness,Sadness
13834,Böceklerden tiksinirim.,Disgust,Disgust
13835,Arkadaşımın kendi cinsinden hoşlandığını öğrenince çok şaşırdım.,Surprise,Surprise
13836,Hedeflerime ulaştığımda mutlu olurum.,Happy,Happy
13837,İşlerimin istediğim gibi gitmemesinden korkarım.,Fear,Fear
13838,Küçük şeylere öfkeleniyorum. Örnek veremiyorum.,Anger,Anger
13839,Sevdiğim ve güvendiğim insanların olumsuz davranışlarına üzülürüm.,Sadness,Sadness
13840,"Kibirli, egoist insanlardan tiksinirim.Okul çıkışı bir şahsın yüzüme karşı hapşırmasından tiksindim.",Disgust,Disgust
13841,Belediye otobüsünde boş yer bulup oturduğum gün çok şaşırdım.,Surprise,Surprise
13842,Küçük şeylerden mutlu olurum.,Happy,Happy
13843,Kardeşimle evde kavga ederken camlı kapının camının kırılarak kardeşimin yaralanmasına üzüldüm ve çok korktum.,Fear,Fear
13844,Kibirlenen insanlara öfkelenirim.,Anger,Anger
13845,uzun yıllar arkadaşlık yaptığım iki arkadaşlarımla arkadaşlığımızı bitirdiğimiz gün çok üzüldüm.,Sadness,Sadness
13846,Arkadaşım kremalı bisküvinin kremasının yerine diş macunu koyup bana vermiş ben de dikkat etmeden ağzıma sokunca çok tiksindim.,Disgust,Disgust
13847,Voleybol filesinin üzerinden atlamaya çalışırken düşüp kafamı yaralayınca çok şaşırdım.,Surprise,Surprise
13848,Sınavdan yüksek not aldığımda mutlu olurum.,Happy,Happy
13849,Sokak köpeklerinin havlamasından korkarım.,Fear,Fear
13850,Birinin bana bağırmasına öfkelenirim.,Anger,Anger
13851,Arkadaşımın beni kırmasına üzüldüm.,Sadness,Sadness
13852,Kadın kılına değmekten tiksinirim.,Disgust,Disgust
13853,Emin olduğum sorunun yanlış çıkmasına şaşırırım.,Surprise,Surprise
13854,Okulun bitmesinden mutlu olurum.,Happy,Happy
13855,Sınıftakilerle karşılaşmaktan korkuyorum.,Fear,Fear
13856,Suyun 75 kuruş olmasına öfkeleniyorum.,Anger,Anger
13857,Okulun başlamasına üzüldüm.,Sadness,Sadness
13858,Geçen seneki aynı sınıfta olan arkadaşımdan tiksindim.,Disgust,Disgust
13859,Ben şaşmam.,Surprise,Surprise
13860,Yaz tatiline girince mutlu olurum.,Happy,Happy
13861,Korku filmlerinden korkuyorum.,Fear,Fear
13862,"Annemin beni ismimle çağırmamasına, ha bire yemek ye demesine ve eşyalarımın karıştırılmasına öfkeleniyorum.",Anger,Anger
13863,Yaptığım şakaya gülünmemesine üzülürüm.,Sadness,Sadness
13864,Yemeğin şapırdatılarak yenmesinden tiksinirim.,Disgust,Disgust
13865,Kendi kalemizden çektiğim topun gol olmasına şaşırdım.,Surprise,Surprise
13866,Akşam eve geldiğimde tüm ailemi görünce mutlu oluyorum.,Happy,Happy
13867,Soda şişesinin patlamasından korkarım.,Fear,Fear
13868,Yakınlığım olmayan ve ben yaşlardaki kişilerin bana emir verir gibi konuşmalarına öfkelenirim.,Anger,Anger
13869,Yolda araçla hızla giderken yol kenarında gördüğüm yaralı kediye üzüldüm.,Sadness,Sadness
13870,Birinin yakınımda kusmasından tiksinirim.,Disgust,Disgust
13871,Beni ve yakın arkadaşımı işleten kişinin arkadaşımın kuzeni olduğunu öğrendiğimde şaşırdım.,Surprise,Surprise
13872,Hakan'ın okula gelmemesinden ve hapşırırken kafasını masaya vurmasından mutlu oluyorum.,Happy,Happy
13873,Hakan'ın hapşırmasından tiksiniyorum.,Fear,Disgust
13874,Öfkelendiğim anlar çok azdır.,Anger,Ambigious
13875,hakan'la aynı sınıfta olduğumu öğrenince üzüldüm.,Sadness,Sadness
13876,Hakan'dan tiksiniyorum.,Disgust,Disgust
13877,"Hakan'ın"" saçıma koleston kızıl kahve demesine şaşırdım.""",Surprise,Surprise
13878,Ailece gittiğimiz bir tatilde çok mutlu oldum.,Happy,Happy
13879,Arabanın altında kalmaktan son anda kurtulduğumda çok korktum.,Fear,Fear
13880,Bir kişi ile sürekli uğraşılmasına (alay edilmesine) öfkelenirim.,Anger,Anger
13881,Yavru kirpinin ölmüş babasının yanında beklediğini görünce çok üzüldüm.,Sadness,Sadness
